,jsonid,label,headline_text,subject,speaker,speakerjobtitle,stateinfo,partyaffiliation,barelytruecounts,falsecounts,halftruecounts,mostlytrueocunts,pantsonfirecounts,context,twitter_handle
440,13006.json,TRUE,Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,"jobs,trade",john-plumb,Candidate for Congress,New York,democrat,0,0,0,0,0,an interview on Capital Tonight.,JohnFPlumb
441,10738.json,FALSE,"ISIS camp a few miles from Texas, Mexican authorities confirm.","immigration,military,terrorism",judicial-watch,,,organization,1,1,0,0,0,a web item,
442,5629.json,FALSE,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,health-care,tom-price,Congressman,Georgia,republican,1,2,5,3,0,a press release,pricetom
443,4366.json,pants-fire,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.,candidates-biography,blog-posting,,,none,7,19,3,5,44,web pages,
444,11363.json,pants-fire,The unemployment rate may be as high as 42 percent.,"corrections-and-updates,economy,jobs",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a press conference,
445,8443.json,mostly-true,"Common Core is not from the federal government, they do not have their fingerprints on this thing at all.","children,education,federal-budget,government-regulation",sondy-pope,State Representative,Wisconsin,democrat,0,1,1,1,0,a radio interview,RepSondy
446,2806.json,FALSE,Social Security is indeed a Ponzi scheme.,social-security,rick-perry,Governor,Texas,republican,30,30,42,23,18,an interview.,SecretaryPerry
447,11254.json,barely-true,"Says Scott Walker brags a lot about having an independent agency investigate police shootings. Of course, he didnt fund it.","city-government,civil-rights,criminal-justice,public-safety,state-budget",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3,4,4,3,1,comments to reporters,
448,1736.json,mostly-true,What the Arizona law does is make a state crime out of something that already is... a federal crime.,immigration,george-will,Columnist,Maryland,columnist,7,6,3,5,1,a panel discussion on ABC This Week,
449,4915.json,pants-fire,"When the country was founded, Congress had exactly the same attitude about the sanctity of Christmas celebrations that a 7-Eleven does today: Yeah, were open.","history,pop-culture,pundits,religion",jon-stewart,,,none,0,2,1,1,1,"a segment of ""The Daily Show""",
450,7847.json,mostly-true,"In Miami-Dade County, we spend at our school system over $20 million every year educating recent immigrants.","education,immigration",carlos-curbelo,Miami-Dade school board member,Florida,republican,0,1,0,1,0,a Fox News interview,carloslcurbelo
451,947.json,FALSE,The omnibus bill has only $3.8 billion in earmarks.,federal-budget,democratic-congressional-leadership,,,democrat,0,1,0,0,0,statements to reporters.,
452,11264.json,TRUE,Trump proposed enacting the largest tax increase in American history.,"candidates-biography,taxes",jeb-bush,,Florida,republican,17,5,17,24,2,a fundraising email,JebBush
453,779.json,TRUE,"Senator McCain has been talking tough about earmarks, and that's good, but earmarks account for about $18-billion of our budget.",federal-budget,barack-obama,President,Illinois,democrat,70,71,160,163,9,"a debate in Nashville, Tenn.",BarackObama
454,12790.json,half-true,"Kim Myers voted repeatedly to raise taxes on the people of Broome County, but made millions off of tax savings when her family business relocated its headquarters.",taxes,claudia-tenney,Assemblywoman,New York,republican,0,0,1,0,0,a press release.,claudiatenney
455,13004.json,half-true,"Californias Prop 60, which would requirecondom usein adult films, would put workers in the adult film industry at riskfor lawsuits and harassment.","government-regulation,public-health",no-60-campaign-against-condom-requirement-adult-fi,,,organization,0,0,1,0,0,in a campaign video advertisement,
456,8637.json,TRUE,We pay among the highest tolls in the nation for the privilege of crossing that bridge.,transportation,loretta-weinberg,State Senator,,democrat,1,2,0,1,0,an interview on the John Gambling radio program,SenatorLorettaW
457,8762.json,half-true,"Sens. Isaksons, Chambliss Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs.","federal-budget,jobs",americans-united-change,,,none,1,4,4,1,0,a press release,
458,7148.json,barely-true,Says real estate taxes were put in place to pay for Obamacare.,"health-care,taxes",todd-hunter,Lawyer,Texas,republican,1,0,0,0,0,a Texas Tribune interview.,toddahunter
459,5663.json,half-true,Says today unemployment has been running near 12 percent or more for the last four years and the Legislature hasnt done much to lower it.,jobs,tim-knopp,,,republican,0,0,1,1,0,campaign website,SenatorKnopp
460,1398.json,FALSE,Says Kay Bailey Hutchison voted for sanctuary cities.,immigration,rick-perry,Governor,Texas,republican,30,30,42,23,18,a debate.,SecretaryPerry
461,6379.json,half-true,John Mica voted to borrow $10 trillion.,"debt,federal-budget,message-machine-2012,voting-record",sandy-adams,member of Congress,Florida,republican,0,0,1,0,0,a campaign mailer,pastor_sandy
462,9374.json,barely-true,Says opponent Mary Burke told reporters she would have required workers to give up bargained-for healthcare and retirement benefits like Gov. Walker.,"labor,state-budget,workers",brett-hulsey,,,democrat,1,3,0,0,0,a letter,hulsey07
463,498.json,TRUE,"McCain ""hired some of the biggest lobbyists in Washington to run his campaign.""","elections,ethics",barack-obama,President,Illinois,democrat,70,71,160,163,9,"Tampa, Fla.",BarackObama
464,4022.json,barely-true,We do not want to raise anybodys tax rates. Thats never been on the table.,"taxes,abc-news-week",james-clyburn,U.S. Representative,South Carolina,democrat,1,1,0,1,0,"an interview on ABC's ""This Week with Christiane Amanpour""",
465,11810.json,half-true,"When terrorists killed more than 250 Americans in Lebanon under Ronald Reagan, the Democrats didnt make that a partisan issue.","congress,history,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a CNN town hall,HillaryClinton
466,2804.json,mostly-true,"This is the first time a party has picked up multiple seats during a regular election since the mid 1980s, making this the largest majority of any party in more than 25 years.","elections,history",mike-haridopolos,Florida Senate President,Florida,republican,0,3,1,1,0,a post-election interview.,MikeHaridopolos
467,183.json,FALSE,John wasn't this raging populist four years ago when he ran for president.,job-accomplishments,barack-obama,President,Illinois,democrat,70,71,160,163,9,"Chariton, Iowa",BarackObama
468,2094.json,TRUE,House Republicans who complained they didnt have enough time to consider a constitutional ban against oil drilling shoved through a proposal in just a few days to open state waters to oil drilling.,"energy,environment,oil-spill",alex-sink,,Florida,democrat,1,2,2,4,0,remarks to reporters.,
469,12697.json,FALSE,Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.,elections,reince-priebus,"Chairman, Republican National Committee",Wisconsin,republican,2,12,8,3,1,"an interview on ""Meet the Press""",Reince
470,12499.json,pants-fire,Crime is rising.,"crime,criminal-justice",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a speech after several primaries concluded,
471,12023.json,mostly-true,"(Flint, Mich., is) paying three times more for poison water than I am paying in Burlington, Vt., for clean water.","city-government,water",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,"a Democratic debate in Flint, Mich.",
472,4928.json,barely-true,Weve got a personal tax system thats so complicated it costs Americans about $500 billion a year to comply with the current tax code.,taxes,john-boehner,Speaker of the House of Representatives,Ohio,republican,13,22,11,4,2,a news conference,SpeakerBoehner
473,3098.json,pants-fire,"Says a Portland school gives Muslim students their own school provided prayer room, prayer rugs, and lets them out of class five times a day to pray to Allah.",religion,victoria-taft,radio talk show host,Oregon,none,0,2,0,0,1,a website posting,VictoriaTaft
474,8347.json,FALSE,"(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.","social-security,veterans",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,an MSNBC interview,
475,5750.json,half-true,The bulk of the people who are shot with a weapon other than these drug gangs taking on one another end up being shot with their own weapon.,guns,joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,"an interview on ""Face the Nation""",JoeBiden
476,1930.json,FALSE,"In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.","corporations,financial-regulation,market-regulation,abc-news-week,transportation",rahm-emanuel,Mayor of Chicago,Illinois,democrat,1,1,1,2,0,"an interview on ""This Week.""",RahmEmanuel
477,8241.json,half-true,Salaries for URI faculty are second to last among New England land grant universities and in lowest 20 percent of major U.S. research institutions,"education,labor,state-budget,state-finances",frank-annunziato,Union leader,Rhode Island,labor-leader,0,0,1,0,0,a newspaper interview,cheech870000
478,13159.json,barely-true,Says Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obamas ability to fight pollution and combat climate change.,"climate-change,environment",democratic-congressional-campaign-committee,,,democrat,11,8,5,1,9,a TV ad,
479,2699.json,FALSE,"When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.","campaign-finance,transparency",michael-steele,chairman of the Republican National Committee,Maryland,republican,0,1,1,0,2,"an interview on NBC's ""Meet the Press""",MichaelSteele
480,3485.json,FALSE,Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,"health-care,state-budget",dennis-richardson,state representative,Oregon,republican,0,4,1,2,0,a newsletter,
481,11453.json,FALSE,You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.,campaign-finance,claire-mccaskill,U.S. Senator,Missouri,democrat,1,1,0,0,0,comments to HBO host Bill Maher,clairecmc
482,12779.json,half-true,"Says Donald Trump cashed in on Sept. 11,collecting $150,000 in federal funds intended to help small businesses recover even though days after the attack Trump said his properties were not affected.","federal-budget,terrorism",joseph-crowley,U.S. Rep.,New York,democrat,0,0,1,0,0,a speech at the Democratic convention,
483,5322.json,barely-true,"Three years ago, a newly elected President Obama told America that if Congress approved his plan to borrow nearly a trillion dollars, he would hold unemployment below 8 percent.",stimulus,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,"a victory speech in Las Vegas on Feb. 4, 2012",MittRomney
484,4832.json,pants-fire,An independent payment advisory board created by in the health care reform law is like a Medicare IRS with the power to cut Medicare in order to pay for new government programs.,"government-regulation,health-care,message-machine-2012,market-regulation",60-plus-association,,,none,2,0,0,0,1,a television commercial,60PlusAssoc
485,12077.json,FALSE,The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.,county-budget,chris-abele,Philanthropist,Wisconsin,none,3,5,4,4,2,an interview,ChrisAbeleMKE
486,9021.json,FALSE,"Under a bill before the legislature, youd have to go to court to fire an employee.","economy,jobs,labor,legal-issues",kenneth-block,businessman,,republican,0,3,2,3,0,a TV interview,
487,6158.json,TRUE,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,transportation,michael-doherty,,,republican,1,3,1,1,0,a news release,profmdoherty
488,8819.json,mostly-true,"In the entire public school system in Camden last year, only three students graduated college ready.",education,chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,his “State of the State” address,ChrisChristie
489,8141.json,TRUE,"Says nearly 29,000 Oregonians almost 5 percent of all homeowners are 90 days or more delinquent on their mortgage.",housing,ellen-rosenblum,,,democrat,1,0,0,0,0,an opinion article,ORDOJ
490,1254.json,FALSE,"Under the Hate Crimes bill, ""any pastor, preacher, priest, rabbi or imam who gives a sermon out of their moral traditions about sexual practices could be found guilty of a federal crime.""",crime,john-kline,U.S. Congressman,,republican,0,1,0,0,0,a press release,repjohnkline
491,6873.json,barely-true,This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent.,"candidates-biography,economy,jobs,message-machine-2012,stimulus",american-crossroads,,,republican,5,5,4,0,0,a TV ad,AmericanXRoads
492,5031.json,half-true,George Allen and his colleagues in the Senate turned the biggest surplus in the history of the United States into the biggest deficit in the history of the United States.,"corrections-and-updates,deficit",tim-kaine,U.S. Senator,Virginia,democrat,8,3,15,15,0,in a debate,timkaine
493,7976.json,half-true,Says President Obama has cracked down on employers who are attracting undocumented immigrants and hiring them more than any previous president.,immigration,debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7,9,8,15,3,an interview,DWStweets
494,4997.json,mostly-true,Says Newt Gingrich made an affirmative statement that he would not only support but he would campaign for Republicans who were in support of the barbaric procedure known as partial-birth abortion.,abortion,michele-bachmann,Congresswoman,Minnesota,republican,8,22,6,4,16,a Republican presidential primary debate,MicheleBachmann
495,11996.json,barely-true,U.S. global AIDS spending helped reduce political instability and violence by 40 percent in recipient nations.,"foreign-policy,public-health",tom-daschle,,,democrat,1,0,0,0,0,an op-ed,
496,675.json,half-true,"I told the Congress 'thanks, but no thanks,' on that Bridge to Nowhere.","federal-budget,transportation",sarah-palin,,Alaska,republican,9,19,9,6,6,"a speech at the Republican Nationention in St. Paul, Minn.",SarahPalinUSA
497,11583.json,mostly-true,The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.,"state-budget,state-finances,transportation",jeff-morales,"CEO, California High-Speed Rail Authority",California,state-official,0,0,0,1,0,a press conference,jeffmorales
498,10374.json,TRUE,"State school funding per pupil is down 16 percent compared to 2009, after adjusting for inflation.","education,state-budget",virginia-education-association,,,none,0,0,0,0,0,a web post.,VEA4Kids
499,5282.json,half-true,Unemployment has fallen from 10 percent during the presidents first year in office to 8.5 percent today.,economy,hank-johnson,U.S. Congressman,Georgia,democrat,3,0,4,3,0,a press statement,
500,8600.json,half-true,"American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.",immigration,causa-oregon,,Oregon,organization,0,0,1,0,0,a website statement,
501,10447.json,FALSE,There were more people on welfare than working in 2013.,"economy,jobs,poverty,welfare",terry-jeffrey,Editor-in-chief of CNSNews,Virginia,none,0,1,0,0,0,a column in TownHall.com,
502,6940.json,barely-true,"Says Tammy Baldwin introduced a bill that would require doctors and other health care workers to ask patients, including young children, whether they are gay, lesbian, bisexual, or if they know their gender identity.","children,gays-and-lesbians,health-care,sexuality",glenn-grothman,"State Senator, 20th District",Wisconsin,republican,2,4,1,1,0,a news release,GrothmanforWI
503,2354.json,TRUE,Says State Rep. Kristi Thibaut was an ACORN lobbyist.,candidates-biography,republican-party-texas,,Texas,republican,3,1,1,3,1,a tweet,
504,9221.json,half-true,Atlanta is the No. 1 trading point for sexual slavery in America. Between 100 and 200 girls are sold into slavery in Atlanta every month.,children,jimmy-carter,,Georgia,democrat,3,0,2,2,0,interview while promoting book,
505,6279.json,half-true,"According to a national survey, transit ridership among people age 16 to 34 increased 40 percent between 2001 and 2009.",transportation,jeff-dickerson,,Georgia,none,0,0,1,0,0,an online debate,DickersonESPN
506,8309.json,TRUE,"In fiscal year 2011-2012, 4,191 abortions were paid for by taxpayers via the Oregon Health Plan.","abortion,taxes",oregon-2014,,Oregon,organization,0,0,0,0,0,online campaign materials,
507,7596.json,FALSE,Any legislative action that is taken now could very well be rendered completely null and void by the decision of the Supreme Court expected this June.,"gays-and-lesbians,marriage",thomas-tobin,Bishop of the Diocese of Providence,,none,0,2,0,0,0,a news release,
508,11249.json,half-true,Im the only (Republican)candidate that has actually reduced the size of government.,"candidates-biography,state-budget",bobby-jindal,Governor of Louisiana,Louisiana,republican,0,1,4,4,0,"comments on ABC's ""This Week""",
509,13252.json,FALSE,"After how hard you work and how much you pay in taxes, New York City ends up getting the money. Im Chris Jacobs. I think its time we have someone in Albany thats making sure our region gets our fair share",taxes,chris-jacobs,Erie County Clerk,New York,republican,0,1,0,0,0,a campaign ad,ChrisJacobs
510,10469.json,mostly-true,Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year.,"congress,congressional-rules",phil-kerpen,President of American Commitment and columnist,"Washington, D.C.",republican,0,0,0,1,0,a tweet,kerpen
511,11906.json,mostly-true,Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.,"candidates-biography,criminal-justice,elections,legal-issues,campaign-advertising",joanne-kloppenburg,State Appeals Court judge,Wisconsin,none,2,1,0,2,1,a TV ad,joanne8553
512,7184.json,mostly-true,"One out of every four students fails to earn a high school diploma. In our major cities across America, half of our kids dont graduate.","children,education,poverty",paul-ryan,U.S. Representative,Wisconsin,republican,19,6,16,14,2,a speech,SpeakerRyan
513,9652.json,barely-true,There were 36 states where Republicans who were in charge refused to implement a state (health insurance) exchange.,"health-care,supreme-court",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7,9,8,15,3,an interview with a Las Vegas news network,DWStweets
514,13228.json,pants-fire,"Says a tweet he sent out wasnt saying, check out a sex tape. It was just take a look at the background of Alicia Machado.",candidates-biography,donald-trump,President-Elect,New York,republican,63,114,51,37,61,the second presidential debate,
515,11032.json,pants-fire,Aphotograph of 21-year-old Hillary Clinton featured a Confederate battle flag in the background.,"candidates-biography,history",dinesh-dsouza,Author and film director,California,none,1,0,0,0,1,a tweet,
516,3097.json,TRUE,Texas leads the nation in the percentage of residents without health insurance.,health-care,paul-krugman,New York Times columnist,,none,0,2,3,4,0,an op-ed column,paulkrugman
517,1762.json,FALSE,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,immigration,mike-pence,Governor,Indiana,republican,8,10,12,5,0,an interview on NBC's 'Meet the Press' ,mike_pence
518,4373.json,pants-fire,A new college tuition reciprocity agreement with Minnesota makes college education more affordable for Wisconsin residents.,"education,state-budget,states",scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a news release,ScottWalker
519,8214.json,half-true,Says Cory Booker supports late-term and partial-birth abortion and opposes safety regulations.,"abortion,health-care,women",bookerfail,,,none,1,0,1,0,0,a U.S. Senate campaign video ad,
520,6462.json,FALSE,Mitt Romney is the first major party candidate for president of the United States in modern times not to release at least 12 years of tax returns.,"candidates-biography,taxes",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7,9,8,15,3,an interview on Fox News,DWStweets
521,4479.json,half-true,"In the month of July alone, EU exports to South Korea increased by over 36 percent. A lot of that is our market share. Those are our farmers and our service providers who are suffering.",trade,rob-portman,U.S. senator from Ohio,Ohio,republican,3,5,11,11,1,a news conference,robportman
522,1532.json,mostly-true,"Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month.","ethics,transparency",kay-bailey-hutchison,U.S. Senator,Texas,republican,2,4,4,3,0,a radio ad,kaybaileyhutch
523,6131.json,half-true,"As Virginia lost over 65,000 jobs, (Tim) Kaine put partisan ambitions first by serving as DNC chairman during the last year of his governorship.","economy,jobs,message-machine-2012",american-crossroads,,,republican,5,5,4,0,0,a TV ad.,AmericanXRoads
524,366.json,half-true,The DNC says McCain flip-flopped on whether the Iraq War would be easy.,iraq,democratic-national-committee,,,none,8,2,10,8,0,a Web video.,
525,5870.json,mostly-true,Says Ohio law gives tax breaks to rich people who own private jets.,"state-budget,taxes",mike-foley,State representative,Ohio,democrat,0,0,0,2,0,a speech in the Ohio House,
526,2469.json,half-true,"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and we still lost more than 2.5 million jobs.","economy,federal-budget,message-machine,stimulus,taxes,voting-record",americans-job-security,,,none,0,0,3,0,0,a campaign ad,
527,6903.json,pants-fire,Says Paul Ryans budget plan ends Medicare.,"federal-budget,health-care,medicare,message-machine-2012",rob-zerban,,,democrat,0,1,0,0,1,a TV ad,robzerban
528,12227.json,half-true,"In every ethics case that has resulted in a formal sanction, theres been an investigative subcommittee thats been established first.",ethics,alan-grayson,U.S. House of Representatives,Florida,democrat,6,5,4,11,1,a Tampa Bay Times interview,
529,6308.json,TRUE,Says New Hampshire has the third-highest property tax in the country.,"corrections-and-updates,taxes",jackie-cilley,Marketing,New Hampshire,democrat,0,0,0,0,0,a statement during a candidates forum at Nashua City Hall,jackielcilley
530,724.json,TRUE,"Obama's tax plan cuts taxes ""for 95 percent of all working families.""",taxes,barack-obama,President,Illinois,democrat,70,71,160,163,9,"Elko, Nev.",BarackObama
531,13145.json,barely-true,Says Colorado Democraticcongressional candidate MorganCarroll racked up $11 billion in new spending in the state Legislature.,state-budget,national-republican-congressional-committee,,,republican,18,9,8,5,8,a TV ad ,
532,11617.json,FALSE,59 percent of Americans today believe that Barack Obama is still a Muslim.,"candidates-biography,diversity,polls",arsalan-iftikhar,"Senior editor, Islamic Monthly magazine ","Washington, D.C.",none,0,1,0,0,0,"a roundtable discussion on NBC's ""Meet the Press""",TheMuslimGuy
533,6853.json,FALSE,Carol Shea-Porter wants to increase taxes on small business and job creators.,small-business,frank-guinta,"U.S. Congress, NH-First District",New Hampshire,republican,1,1,1,1,0,"an advertisement, “Veterans,”",
534,176.json,barely-true,"People were hopeless. Sixty percent of the population, 70 percent of the population wanted to live somewhere else. . . . By the time I left, 70 percent wanted to stay.",job-accomplishments,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"Washington, D.C.",RudyGiuliani
535,5329.json,TRUE,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,"education,tourism",marc-schare,Member of the Worthington Board of Education,Ohio,none,0,0,0,0,0,an Ohio House committee hearing ,marcschare
536,3469.json,FALSE,On whether the United States should intervene in Libya.,"foreign-policy,military",newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16,15,20,10,11,televised interviews,newtgingrich
537,5705.json,half-true,99.97 percent of the kids live in poverty that attend Cleveland public schools.,"education,poverty",sandra-williams,State representative,Ohio,democrat,0,0,1,0,0,a news conference,
538,2582.json,half-true,"John Kitzhaber created 128,000 new jobs while governor.","economy,job-accomplishments",john-kitzhaber,Governor of Oregon,Oregon,democrat,1,1,4,4,0,a campaign mailer,GovKitz
539,7659.json,mostly-true,Says Texas ranks 49th nationally in what we are doing to support our per-pupil investment in education in the state.,"education,state-budget,state-finances,states",wendy-davis,state senator,Texas,democrat,5,1,8,12,1,a Senate Education Committee meeting.,wendydavis
540,11073.json,barely-true,"Despite keeping distance from national media interviewers, I did local press all along, the last three months.","job-accomplishments,states",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,an interview with CNN,HillaryClinton
541,8510.json,pants-fire,"What we said was, you can keep (your plan) if it hasnt changed since the law passed.",health-care,barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech to Organizing for Action,BarackObama
542,12045.json,mostly-true,"In 2006, Bernie Sanders voted in the House with hard-line Republicans for indefinite detention for undocumented immigrants, and then he sided with those Republicans to stand with vigilantes known as Minutemen who were taking up outposts along the border to hunt down immigrants.",immigration,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a Democratic presidential debate in Miami,HillaryClinton
543,7942.json,pants-fire,"Says Florida didnt offer special incentives to Deutsche Bank, which announced it will add 300 jobs in Florida.","economy,jobs",rick-scott,Governor,Florida,republican,28,23,38,34,7,a TV interview,SenRickScott
544,12473.json,pants-fire,Says she was the first in her family to go to a four-year college.,education,katie-mcginty,,Pennsylvania,democrat,1,0,0,1,1,On the 'About' page of McGinty's campaign website,
545,8005.json,TRUE,"There was a Gallup poll in Egypt last year, and 70 percent of Egyptians dont want our money.","foreign-policy,polls",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7,8,10,12,3,a Fox News interview,
546,195.json,TRUE,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",crime,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,an interview,MittRomney
547,1768.json,FALSE,"Scott Maddox has run ""losing campaigns for 3 of Florida's 4 available cabinet positions.""","agriculture,candidates-biography",adam-putnam,Florida Commissioner of Agriculture,Florida,republican,0,1,1,2,1,a campaign statement,adamputnam
548,9196.json,TRUE,Americans spend 6.1 billion hours a year on tax preparation.,taxes,virginia-foxx,U.S. Representative,North Carolina,republican,0,0,0,1,1,in a comment on Twitter,virginiafoxx
549,8957.json,mostly-true,The budget I managed at the Department of Education was more than $60 million.,"candidates-biography,education,federal-budget,job-accomplishments",clay-pell,Candidate for Rhode Island governor,Rhode Island,democrat,0,0,1,2,0,"an interview on WPRI-TV's ""Newsmakers.""",ClayPell
550,13247.json,FALSE,"We are now, for the first time ever, energy independent.","energy,environment,gas-prices,trade",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,the second presidential debate,HillaryClinton
551,5659.json,TRUE,"Last year, Exxon pocketed nearly $4.7 million every hour.","corporations,energy",barack-obama,President,Illinois,democrat,70,71,160,163,9,a speech in the Rose Garden,BarackObama
552,1214.json,half-true,"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands.""","health-care,legal-issues,medicare",ginny-brown-waite,Congresswoman,Florida,republican,2,0,2,0,0,a letter to AARP,
553,4692.json,pants-fire,"Medicare monthly premiums will go up to $104.20 in 2012 and $247.00 in 2014 due to provisions incorporated in the Obamacare legislation, purposely delayed so as not to confuse the 2012 re-election campaigns.","health-care,medicare",chain-email,,,none,11,43,8,5,105,a chain e-mail,
554,5325.json,mostly-true,"Right now, 50 percent of Florida students leaving high school cannot read at grade level.",education,bill-proctor,state representative,Florida ,republican,0,0,0,1,0,a newspaper article,billproctor314
555,4237.json,TRUE,Says Republican Sen. John McCain won more votes for president in Cuyahoga County in the 2008 general election than he did in seven states.,elections,kevin-dewine,Chairman of the Ohio Republican Party,Ohio,republican,1,0,0,1,0,a speech at a GOP dinner,KevinDeWine
556,13019.json,barely-true,Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika).,"abortion,congress,health-care",naral-pro-choice,,"Washington, D.C.",organization,2,1,0,0,1,a TV ad,
557,12246.json,half-true,Youre in more trouble if you leave your pet in the car than if you leave your child in the car.,"children,criminal-justice,public-safety",john-pagliarini,State Senator,Rhode Island,republican,0,0,1,0,0,a speech,
558,2540.json,FALSE,SaysPeter Kilmartin voted in favor of expanding the good behavior statute to sex offenders.,"crime,voting-record",erik-wallin,,Rhode Island,republican,0,1,0,0,0,a news release,dr_blackheart
559,4659.json,TRUE,On letting Occupy Atlanta protesters stay in Woodruff Park.,"occupy-wall-street,public-safety",kasim-reed,,,democrat,1,0,5,7,1,statements to the public,KasimReed
560,13313.json,half-true,What I have put forward does not add a penny to the debt.,debt,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,in the third presidential debate.,HillaryClinton
561,10286.json,TRUE,"There are more African American men in prison, jail, on probation or parole than were enslaved in 1850.","civil-rights,crime,criminal-justice,marijuana",diego-arene-morley,Student,"Washington, D.C.",activist,0,0,0,0,0,a community forum,
562,12813.json,mostly-true,"In first week as governor, Tim Kaine proposed a nearly $4 billion tax increase, $4 billion, including a tax increase on people earning as little as $17,000 a year.",taxes,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a speech.,
563,2474.json,mostly-true,"On Lee Fishers watch, almost nine out of 10 jobs that Ohio lost were lost to other states, not to other countries.",economy,rob-portman,U.S. senator from Ohio,Ohio,republican,3,5,11,11,1,an appearance at The Plain Dealer,robportman
564,4153.json,mostly-true,Every president has raised the debt ceiling.,"deficit,federal-budget",richard-codey,State Senator,New Jersey,democrat,0,0,0,2,0,an interview on Hannity on Fox News,
565,3255.json,FALSE,Limiting labor negotiations to only wages is how it is for the most part in the private sector.,"labor,state-budget",alberta-darling,"State Senator, 8th District",Wisconsin,republican,1,1,2,1,1,an appearance on a TV interview program,SenDarling
566,9876.json,barely-true,"Says on contraception, his plan is cheaper and easier for you than Sen. Mark Udalls","health-care,message-machine-2014,women",cory-gardner,U.S. House of Representatives,Colorado,republican,4,1,0,0,0,a campaign ad,SenCoryGardner
567,11681.json,half-true,The states have always defined marriage.,"gays-and-lesbians,marriage",marco-rubio,U.S. Senator,Florida,republican,33,24,32,35,5,"an interview on NBC's ""Meet the Press""",marcorubio
568,10192.json,FALSE,"Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.","hunger,population",delia-garza,Attorney,Texas,none,0,1,0,0,0,as quoted in a news story,
569,545.json,half-true,"John McCain ""opposed legislation to fund levees and flood control programs, which he considers pork.""",federal-budget,barack-obama,President,Illinois,democrat,70,71,160,163,9,remarks to U.S. Conference of Mayors,BarackObama
570,5688.json,half-true,"Mitt Romneys pledged to protect (oil companies) record profits and their billions in special tax breaks, too.","energy,taxes",priorities-usa-action,,,democrat,3,1,4,2,1,a television ad,Mills_Gro6
