,speaker,twitter_handle
1976,multnomah county library foundation,
1977,brian patrick kennedy,
1978,amanda fritz,AmandaFritzRN
1979,george holding,RepHolding
1980,chuck donovan,Dunnie42
1981,progressive change campaign committee,
1982,peter schweizer,peterschweizer
1983,john shimkus,RepShimkus
1984,stephanie desilva,StephanieDesi10
1985,daniel rodriguez,sethillgard
1986,sly james,
1987,michael t owens,
1988,gina hinojosa,GinaForAustin
1989,mahmoud ahmadinejad,Ahmadinejad1956
1990,our principles pac,
1991,gene green,
1992,tony capezza,
1993,matt gaetz,mattgaetz
1994,jan schakowsky,janschakowsky
1995,billboard spaghetti junction,
1996,frank ortis,
1997,yes 84,
1998,chris van hollen,ChrisVanHollen
1999,james skeffington,jamesskeff2013
2000,colorados voice,
2001,one nation pac,OneNationPAC
2002,kenneth mckay,McKayKH_95
2003,frank pallone jr,
2004,jamie oliver,jamieoliver
2005,steve doocy,SteveDoocy
2006,physicians committee responsible medicine,
2007,yvette mcgee brown,YvetteMB1
2008,kate brown,
2009,richard durbin,
2010,hetty rosenstein,
2011,annette taddeo goldstein,
2012,chris malone,
2013,al roker,alroker
2014,jim taricani,jim_taricani
2015,bing west,BingWest
2016,ron shipman,RonShipman2
2017,lori haas,LoriHaasVA
2018,florida conservation alliance,
2019,bob wirch,
2020,ohio house republican organizational committee,
2021,florida first initiative,
2022,naha daily,
2023,sarah eckhardt,
2024,georgia department economic development,
2025,john morgan,JohnMorganESQ
2026,thomas norment jr,
2027,jb powell,JBPowell11
2028,national federation independent business florida,
2029,doug ducey,dougducey
2030,richard land,
2031,enough already wisconsin inc,
2032,stephanie schriock,Schriock1
2033,ken hagan,hagan2010
2034,katrina shankland,RepShankland
2035,elizabeth dennigan,xoladiegaga
2036,texas democratic party,
2037,steve doell,DeadlyDoellies
2038,valerie vainieri huttle,
2039,jerome buting,JButing
2040,oregon education association,
2041,atlanta journal constitution,
2042,mallard fillmore,fillinator
2043,james capretta,
2044,dale earnhardt jr,DaleJr
2045,joe sanfelippo,Joe_Sanfelippo
2046,lois frankel,
2047,craig miller,junior_miller
2048,michelle mosby,MsHelpMeHelpYou
2049,mick mulvaney,MickMulvaneyOMB
2050,ted piccolo,tedpiccolo
2051,barbara lee,BarbaraLeeSays
2052,jennifer carroll,ChefJenCarroll
2053,league women voters texas education fund,
2054,joe negron,
2055,mary olson,
2056,pam stewart,pstewart78
2057,david pennington,pennington03
2058,chris latvala,ChrisLatvala
2059,stop gillnetting now,StopGillnetting
2060,larry pressler,larrypressler
2061,craig james,
2062,robert koons,
2063,national review,NRO
2064,metro atlanta voter education network,
2065,wilton gregory,
2066,jennifer beck,
2067,melvin sickler,
2068,miss california usa,
2069,james inhofe,
2070,mary mannix,
2071,liz cheney,Liz_Cheney
2072,beth harwell,BethHarwellTN
2073,joni ernst,joniernst
2074,richard franklin iii,
2075,myra signer,MyraSigner
2076,mary jordan,marycjordan
2077,sam olens,
2078,bill de blasio,BilldeBlasio
2079,richard shelby,SenShelby
2080,james carville,JamesCarville
2081,tom perriello,tomperriello
2082,nia gill,gill_nia
2083,mindy montford,
2084,weston wamp,westonwamp
2085,lauren kane,lelizabethkane
2086,ian lang,IanLangITVWales
2087,michael cohen,MichaelCohen212
2088,stephen fincher,RepFincherTN08
2089,center western priorities,
2090,eugene mckenna,euggmac
2091,reza aslan,rezaaslan
2092,chris widener,ChrisWidener
2093,patients first,
2094,robert gates,
2095,online petition,
2096,moms demand action gun sense america,
2097,christopher l smith,
2098,carl heastie,
2099,michael skindell,
2100,nationwide,Nationwide
2101,empowered georgia,empoweredga
2102,mike turzai,
2103,michael cutler,cutlermj
2104,broward county police benevolent association,
2105,gavin mcinnes,DefendGavin
2106,steven emerson,
2107,terral smith,
2108,ken paxton,KenPaxtonTX
2109,occupational knowledge international,
2110,jay rockefeller,
2111,erick erickson,
2112,katherine cloonen,
2113,glenn nye,GlennNye
2114,texas state employees union,
2115,shawn oconnor,ShawnsWineLife
2116,tom ganley,tomganley
2117,emil runge,RungeEmil
2118,victoria jackson,VictoriaJackson
2119,bob bennett,BobBennett_b2
2120,chris koster,Koster4Missouri
2121,dan moore,DANandMOORE
2122,brad woodhouse,woodhouseb
2123,charles cooper,coopeydoop
2124,oxfam ireland,OxfamIreland
2125,concerned women america,
2126,jason rae,JasonRRae
2127,jennifer horn,NHJennifer
2128,brad blakeman,BradBlakeman
2129,efrain de la fuente,VoteDeLaFuente
2130,nancy jester,nancy_jester
2131,luis garcia,
2132,jeff chapman,
2133,rebecca kleefisch,RebeccaforReal
2134,nadine smith,NadineMCSmith
2135,eric johnson,EricJJohnson79
2136,brian schatz,brianschatz
2137,robin schimminger,
2138,bumper sticker,bumpstickideas
2139,bud chiles,
2140,charlie hales,
2141,occupy providence,OccupyProv
2142,mark tapscott,MarkTapscott
2143,turn right usa,
2144,ending spending action fund,
2145,elton john,eltonofficial
2146,georgia association homes and services children,
2147,bob schieffer,bobschieffer
2148,judy manning,jboppwrites
2149,yes 62 death penalty repeal,
2150,tony evers,Tony4WI
2151,charles van zant,
2152,holly turner,
2153,naacp,NAACP
2154,mothers against drunk driving,
2155,robert malin,So1idarityMedia
2156,david simpson,
2157,unbreakable kimmy schmidt,
2158,color change,
2159,dennis baxley,
2160,john roberts,JohnRobertsFun
2161,rick boucher,rickboucherdc
2162,elaine phillips,ElainePhillips1
2163,patrick mchenry,PatrickMcHenry
2164,rhode island tea party,
2165,conservative solutions pac,
2166,jack trammell,jacktrammell
2167,dave schwartz,Dave_Schwartz
2168,robert henneke,
2169,campaign liberty,
2170,barbara comstock,BarbaraComstock
2171,scott fitzgerald,SenFitzgerald
2172,michael cannon,
2173,oregon environmental council oregon business assoc,
2174,john g morgan,
2175,brook hines,nashville_brook
2176,bob marshall,
2177,al jazeera america,ajam
2178,trusted leadership pac,
2179,moms rising,
2180,central falls police department,
2181,pray jesus name project,
2182,susan pitman,kitykity
2183,babur lateef,lateef4chair
2184,florida stop common core coalition,
2185,michael mullen,
2186,jonathan steitz,JonathanSteitz
2187,jack bogdanski,bojack54
2188,derek ryan,DerekAllenRyan
2189,nevada assembly republican candidates,
2190,brent larkin,brentlarkin
2191,advancing wisconsin,
2192,steve chabot,
2193,mary matalin,MaryMatalin
2194,sheila harsdorf,senharsdorf
2195,ron amstutz,rkagolf
2196,protect your vote,
2197,rightmarchcom,
2198,oregon citizens lobby,
2199,fran lebowitz,franlebowitz
2200,econorthwest economics finance planning,
2201,firearms policy coalition,gunpolicy
2202,libertarian party broward county,
2203,jim kyle,
2204,ben shapiro,benshapiro
2205,progressive change campaign committee and democrac,
2206,kellyanne conway,KellyannePolls
2207,major garrett,MajorCBS
2208,tom rooney,TomRooney
2209,ross douthat,DouthatNYT
2210,town hall audience member,
2211,mike gallagher,radiotalkermike
2212,cecile richards,CecileRichards
2213,georgia gun owners,GaGunOwners
2214,phil ruffin,PhilRuf
2215,jeff flake,JeffFlake
2216,james brown,
2217,rula jebreal,rulajebreal
2218,paul stekler,
2219,anti defamation league,
2220,dino rossi,DinoRossiWA
2221,ridesharing works austin,
2222,william weld,
2223,new jersey sierra club,
2224,promote oregon leadership pac oregon house republi,
2225,wisconsin corn growers association,
2226,campaign americas future,
2227,senfronia thompson,Senfronia4Texas
2228,steve oroho,SteveOroho
2229,end citizens united,StopBigMoney
2230,austin fund quality healthcare,
2231,brian newberry,_CoachNew
2232,mt hood community college,
2233,colin van ostern,ColinVanOstern
2234,lights liberty,
2235,lars larson,LarsLarsonShow
2236,william ruto,
2237,AARP,
2238,rob woodall,RepRobWoodall
2239,chris bollwage,MayorBollwage
2240,atlanta police foundation,
2241,dick greco,
2242,john whitbeck,JohnWhitbeck
2243,jackie speier,RepSpeier
2244,kai ryssdal,kairyssdal
2245,mike stenhouse,mikesten
2246,david englin,david_englin
2247,veronica escobar,vgescobar
2248,liberal blogger,
2249,ed lindsey,
2250,david canon,
2251,chris telfer,SenChrisTelfer
2252,jimmie don aycock,Aycockjda
2253,yard sign,
2254,john driscoll,OPDPresources
2255,ruth marcus,RuthMarcus
2256,duf sundheim,DufSundheim
2257,chris garrett bill kennemer,
2258,oregon food bank,oregonfoodbank
2259,cormick lynch,CormickLynch
2260,david sutton,davidball1978
2261,alisha thomas morgan,AlishaMorgan
2262,kathy nickolaus,
2263,patti doyle,
2264,matt lundy,mattlundy33
2265,environmental justice league ri environmental just,
2266,judy shiprack diane mckeel,
2267,arne duncan,arneduncan
2268,ken detzner,KenDetzner
2269,heather moore,HMooreTV
2270,sarah copelin wood,
2271,lauren benedict,laurenbeeswax
2272,rob gleason,glebo15
2273,charles bass,
2274,richard august,RichAugust1
2275,jess mcintosh,jess_mc
2276,joe donald,
2277,laurie monnes anderson,
2278,rob bovett,
2279,kelly cassidy,
2280,seth magaziner,SethMagaziner
2281,jeffrey toobin,JeffreyToobin
2282,duane hall,
2283,david pepper,DavidPepper
2284,wisconsin institute law liberty,
2285,chris danou,
2286,state public service announcement,
2287,paul doughty,PaulDoughty1
2288,scott turner,ScottyT6
2289,mike ryan,mikeryan
2290,planned parenthood votes,
2291,john podesta,johnpodesta
2292,trebor banstetter,Banstetter
2293,pardeep kaleka,
2294,eva longoria,EvaLongoria
2295,charles koch,CKinstitute
2296,american bird conservancy,ABCbirds
2297,joe wilson,RepJoeWilson
2298,callista gingrich,CallyGingrich
2299,thom hartmann,Thom_Hartmann
2300,common sense kids action,CSKidsAction
2301,israel oquinn,
2302,chuck fleischmann,RepChuck
2303,raymond lesniak,
2304,american natural gas alliance,
2305,chris dorworth,ChrisDorworth
2306,mike white,
2307,dana bash,DanaBashCNN
2308,eric kearney,
2309,heritage foundation,Heritage
2310,truth accounting,
2311,stacy white,
2312,wisconsin association justice,
2313,jim cooper,repjimcooper
2314,victoria cobb,toricobb3
2315,barbara cargill,barbaracargill
2316,rob astorino,RobAstorino
2317,jonathan stickland,RepStickland
2318,jimmy flannigan,JimmyFlannigan
2319,janet freedman,jrfreedman1
2320,elisabeth hasselbeck,ehasselbeck
2321,susan shapiro,Susanshapironet
2322,obama girl,
2323,united care,
2324,nick tsiongas,
2325,stephen kretzmann,Kretzmann
2326,donna seidel,
2327,ralph mollis,
2328,citizens strong america,
2329,anita perry,AnitaPerryTX
2330,mike enzi,SenatorEnzi
2331,rick saccone,RickSaccone4PA
2332,chuck norris,chucknorris
2333,hector uribe,
2334,athens banner herald,
2335,nicholas gorham,NicholasGorham
2336,texas liberty pac,
2337,loretta lynch,
2338,pete koekstra,petekoekstra
2339,ed turanchik,ETuranchik
2340,martha raddatz,MarthaRaddatz
2341,darryl glenn,
2342,nia malika henderson,
2343,grady judd,
2344,timothy dolan,
2345,ted olson,teotwits
2346,janet howell,JanetHowellPye
2347,michael caputo,
2348,kathy miller,SupeKathyMiller
2349,jesse ventura,GovJVentura
2350,rees lloyd,
2351,national association gun rights,
2352,gary chiusano,
2353,preston smith,PrestonSmith94
2354,right rise,
2355,protect american jobs,
2356,michael julian bond,Michael_J_Bond
2357,nick ciparro,
2358,north carolina republican party,
2359,larry pratt,larrypratt
2360,dawson hodgson,DawsonHodgson
2361,presente,PresenteOrg
2362,jeff tittel,
2363,oregon transformation project,
2364,hillary mann leverett,
2365,nick gillespie,nickgillespie
2366,oregon department fish and wildlife,
2367,mike males,
2368,american beverage association,
2369,anthony bucco,
2370,john eaves,
2371,barney frank,BarneyFrank
2372,john bel edwards,JohnBelforLA
2373,dan lucas,WFLADan
2374,mayors against illegal guns,
2375,jay hottinger,
2376,david stockman,davidstockman
2377,center individual freedom,
2378,andy puzder,AndyPuzder
2379,joshua miller,jm_bos
2380,alex mcmurtrie jr,
2381,henry cisneros,henrygcisneros
2382,paul valletta,
2383,college presidents,
2384,dennis linthicum,DennisLinthicum
2385,doug stoner,doug_stoner
2386,multnomah county,MultCoLib
2387,state farm insurance,
2388,texans americas future pac,
2389,jim zehringer,
2390,michael denbrow,
2391,markel hutchins,
2392,mike thompson,RepThompson
2393,wayne deangelo,DeAngeloLD14
2394,peter feigin,pfeigin
2395,jay webber,JayWebberNJ
2396,constitutional rights pac,
2397,justin hewlett,justin_hewlett
2398,kevin coughlin,kcough
2399,ohio oil and gas association,
2400,change austinorg,
2401,jack seiler,
2402,portland bureau transportation pbot,
2403,steven goldstein,sjgoldstein
2404,we are milwaukee,
2405,save our springs alliance,
2406,marylanders prevent gun violence education fund,
2407,james florio,jamesflorio
2408,oregon senate republicans,ORSenateRs
2409,timothy geithner,TimGeithnerRX
2410,sam rashid,SamSRashid
2411,david beckham,DaviBeckham24x7
2412,bryan underwood,bwood
2413,jeff cogen,JeffCogen
2414,institute womens policy research,
2415,john legend,johnlegend
2416,kofi annan,KofiAnnan
2417,john kirby,johnfkirby63
2418,maria cardona,MariaTCardona
2419,brian fallon,brianefallon
2420,artur davis,ArturDavis
2421,gary peters,GaryPeters
2422,stephen lisauskas,stephnlisauskas
2423,dave joyce,RepDaveJoyce
2424,slice pint brewpub,
2425,deepwater wind,
2426,ron dermer,
2427,carol alvarado,CarolforTexas
2428,annise parker,AnniseParker
2429,jack conway,
2430,minka kelly,minkakelly
2431,george clooney,
2432,young conservatives texas,
2433,randy leonard,
2434,justin barasky,JustinBarasky
2435,kentucky opportunity coalition,
2436,citizens protect transportation funding,
2437,jon obrien,
2438,leonard pitts jr,
2439,trey gowdy,TGowdySC
2440,bill powers,
2441,marjorie sanfilippo,
2442,neil cavuto,TeamCavuto
2443,seiu healthcare illinois indiana,
2444,texas organizing project,
2445,andy gardiner,AndyGardiner
2446,american postal workers union,
2447,colin powell,cpowellschool
2448,john charles,
2449,elizabeth ames jones,ElizAmesJones
2450,joe miller,Joe_Miller
2451,john cortes,cortes_john
2452,accountability government,
2453,sheryl cole,SherylCole1
2454,john padgett,
2455,jim lampley,exfire21
2456,carolyn medeiros,Carolynwnhq
2457,ryan eller,
2458,mark herring,MarkHerringVA
2459,julia sass rubin,JuliaSassRubin
2460,tavis smiley,tavissmiley
2461,renewable fuels association,EthanolRFA
2462,jill chambers,jillchamberss
2463,thomas sowell,SowellColumn
2464,matt damon,MattDamonOnline
2465,steve brown,
2466,marie corfield,mariecorfield
2467,patrick johnston,risingaction
2468,steve leslie,sjlcards
2469,alex castellanos,alexcast
2470,florida department corrections worker,
2471,ron kind,
2472,georgia craft brewers guild,
2473,charley english,
2474,lisa blais,
2475,eric eisnaugle,ElectEric
2476,linda chavez thompson,
2477,david toscano,
2478,atlanta sports council,
2479,georgia association latino elected officials,
2480,rick lazio,RickLazio
2481,susan latvala,SLatvala
2482,hillary davis,MarcheDimanche
2483,jeff graham,JeffGrahamAtl
2484,wisconsin humane society,WiscHumane
2485,jim doyle,
2486,kernan kerry king,
2487,connie stokes,CS_Publishing
2488,larry valencia,LarryValencia13
2489,daniel harrop,PrinceOfHarrop
2490,lisa bloom,LisaBloom
2491,pete winstead,PeteWinstead
2492,bill powell,
2493,laura tyson,
2494,michael medved,MedvedSHOW
2495,mark brodeur,markbrodeur28
2496,david sweetser,DSweetser2
2497,shirley turner,shirlsyourgirl
2498,connservative republicans texas pac,
2499,karl king,
2500,nancy nathanson,
2501,bill posey,congbillposey
2502,corn commentary,
2503,nik kovac,nikovac
2504,dennis moss,
2505,john boccieri,RepJohnBoccieri
2506,bryan long,
2507,urban intellectuals,urbanintellects
2508,carl lewis,
2509,texas department transportation,
2510,anne hathaway,Hathaway_France
2511,wallace hall,
2512,janet murguia,
2513,arlen specter,
2514,jeffrey hernandez,
2515,tom fanning,Tom_Fanning_Ag1
2516,bill montford,BillMontford
2517,mike rawlings,Mike_Rawlings
2518,steve mcqueen,
2519,john bolton,AmbJohnBolton
2520,dean cannon,DeanCannon
2521,matt bevin,
2522,public notice,
2523,christopher peace,
2524,progressive choice,
2525,colleen conley,cconleyyyy
2526,jason riley,JasonRileyWDRB
2527,valinda bolton,ValindaBolton47
2528,gabrielle giffords,GabbyGiffords
2529,daniel llanes,
2530,margaret gomez,MGomez714
2531,hugh hewitt,hughhewitt
2532,john burton,
2533,dan branch,TexansForDan
2534,matt rinker,Matt_Rinker_
2535,american life league,AmerLifeLeague
2536,bob tiernan,bobtiernan
2537,tim murphy,
2538,mary taylor,
2539,charlie bethel,CharlieBethel
2540,future pac oregon house democrats,
2541,robert walsh,
2542,robert singer,
2543,jeff weems,JeffWeems3
2544,david silverman,MrAtheistPants
2545,tom smitty smith,
2546,roxanne ross,RoxyRoss
2547,frank lasee,franklasee
2548,maurice thompson,
2549,eugene sepulveda,EugeneAustin
2550,lisa baldelli hunt,
2551,clearpath action fund,
2552,franklin sands,
2553,public citizen,Public_Citizen
2554,brett smiley,brettsmiley
2555,stuart varney,
2556,tavern league wisconsin,
2557,rob moshein,AustinWineGuy
2558,other space,
2559,cornel west,CornelWest
2560,john mckeon,jtmckeon
2561,county line,
2562,martin smith,MartinSmithTV
2563,alberto carvalho,
2564,charles boustany,charlesboustanl
2565,lets get work,
2566,doug miller,DougObserver
2567,anna little,
2568,floridians solar choice,
2569,john fetterman,JohnFetterman
2570,jack conners,srennoc
2571,leo berman,RepBerman
2572,raphael warnock,
2573,gary sasse,
2574,pete snyder,
2575,allison tant,allisontant
2576,florida badass teachers association,
2577,brad schneider,
2578,ed whitacre,retiredceo
2579,cecilia munoz,
2580,protect families first,
2581,jim bridenstine,JimBridenstine
2582,jack falanagan,
2583,john oxendine,Johnoxendine
2584,james parisi,JamesAParisi
2585,michael murphy,murphm95
2586,jamie weinstein,Jamie_Weinstein
2587,janet bewley,JanetBewley4WI
2588,rock vote,
2589,tom delay,tomdelaybeats
2590,ovide lamontagne,ovidein2010
2591,jeff judson,Jeffrey8912
2592,francisco quico canseco,
2593,media matters,mmfa
2594,shaun donovan,Shaun_Don66
2595,chris kapanga,
2596,david watts,
2597,ian bremmer,ianbremmer
2598,dave obey,
2599,tom petri,tcpetri
2600,james crowley,TherealJCrowley
2601,lynn howe,
2602,new jersey assembly democrats,
2603,kathie glass,KathieGlass4Tx
2604,florida students concealed carry,
2605,wisconsin sierra club,
2606,marc lamont hill,marclamonthill
2607,raw story,RawStory
2608,lgbt progress,LGBTProgress
2609,michael tyler,MichaelTyler93
2610,wisconsin transportation builders association,WIRoadbuilders
2611,lawrence summers,
2612,shirley anderson,shirlsy
2613,susan yoshihara,susan_yoshihara
2614,jason kander,JasonKander
2615,tina rosenberg,tirosenberg
2616,john albers,johnalbers
2617,richard clarke,
2618,peter nehr,reppeternehr
2619,janet adkins,
2620,texas petition,
2621,sara stevenson,ssteven2
2622,oregon league conservation voters,
2623,john axford,JohnAxford
2624,pete sessions,PeteSessions
2625,citizens against rail taxes,
2626,put alaska first pac,PutAlaskaFirst
2627,Yes on 79,
2628,carl hosticka,chosticka
2629,john lee,
2630,tony perkins,TPerkShow
2631,scot ross,rossacrosswi
2632,ted ferrioli,tedferrioli
2633,shemia fagan,
2634,daniel webster,RepWebster
2635,heidi group,
2636,massachusetts legislature,
2637,zack space,ZackSpaceOhio
2638,joseph trillo,
2639,mika brzezinski,morningmika
2640,melissa johnson,
2641,john dennis,Johndliu
2642,john matson,johnnymatson
2643,bob casey,
2644,credo action,
2645,william obrien,
2646,freedom partners,FreedomPartners
2647,sloan roach,sdroach
2648,free market florida,
2649,crime victims united oregon,
2650,melanie crozier,melcrozier
2651,glee,GLEEonFOX
2652,florida education association,
2653,joe zepecki,JoeZepecki
2654,new georgia encyclopedia,
2655,joe theismann,Theismann7
2656,jack murphy,JackMurphy219
2657,emma darnell,
2658,kim thatcher,KimThatcherGOP
2659,atlanta mayor kasim reeds office,
2660,gerald mccormick,GeraldMcCormick
2661,marshall faulk,marshallfaulk
2662,paul levesque,
2663,nj can,
2664,ryan downton,Newfino
2665,steve santarsiero,SenSantarsiero
2666,joe leibham,JoeLeibham
2667,national federation blind,
2668,jill vogel,JillHVogel
2669,brian birdwell,
2670,american federation children,
2671,gerald daugherty,TeamDaugherty
2672,rob eissler,RobEissler
2673,jim greer,jwgreer3
2674,steve kagen,stevekagen
2675,american international group,
2676,ben cannon,
2677,yes 82 and 83 campaign,
2678,planned parenthood pac,
2679,jonathan harris,J_Harris_29
2680,calvine rollins,ladycefus
2681,james roosevelt,
2682,tim mcginty,jprov716
2683,ameripac,AmeriPACorg
2684,bob seger,BobSeger
2685,antonin scalia,
2686,choose new jersey,ChooseNJ
2687,bike austin,
2688,john fredericks,
2689,val demings,
2690,providence city council,
2691,iowans some semblance christian decency,
2692,cocks not glocks,CocksNotGlocks
2693,austinites geographic representation,
2694,genevieve wood,genevievewood
2695,daily mail,MailOnline
2696,protect oregon driver licenses,
2697,creative advocacy network,
2698,helio melo,
2699,warren chisum,chisum_warren
2700,j xavier,
2701,concerned taxpayers america,
2702,evan goyke,RepGoyke
2703,david rible,
2704,russ fulcher,RussFulcher
2705,chris carpenter,ChrisCarp06
2706,scott hochberg,scotthoch
2707,texans reliable power,
2708,michael mule,MichaelMule
2709,yolanda adrean,yadrean
2710,yg action fund,YGActionFund
2711,maria teresa kumar,
2712,sensible transportation solutions austin pac,
2713,bill bradbury,billbradbury
2714,paul summers,summers400
2715,abel collins,be1Collins
2716,Ballesteros,
2717,david boies,dajobo
2718,beatrice lanzi,Beatrice_Lanzi
2719,nevada state democratic party,
2720,morgan griffith,RepMGriffith
2721,metropolitan north georgia water planning district,
2722,democratic party georgia georgia,
2723,brian moran,
2724,jack ohman,JACKOHMAN
2725,e frank stephenson,
2726,alexander snitker,AlexSnitker
2727,matt tighe,
2728,occupied wall street journal,
2729,joseph andriole,JoeBruins19
2730,rick mcallister,rickmcallister1
2731,mike plant,MPlantTDR
2732,miami dade county,
2733,john scocos,
2734,dan fanelli,ElectDan2010
2735,us dairy export council,
2736,jerome corsi,
2737,jason brodeur,jasonbrodeur
2738,stephen king,StephenKing
2739,mark hinkle,
2740,broward county medical association,
2741,kathleen sullivan,kathleennewsie
2742,phil kent,PhilKentAtl
2743,annies list,
2744,republican state leadership committee,RSLC
2745,ramey ko,
2746,mike huebsch,mdhws
2747,gonzalo barrientos,GonBarrientosA
2748,john watson,
2749,barbara ann radnofsky,
2750,aziz ansari,azizansari
2751,larry ashley,
2752,league women voters florida,
2753,graeme zielinski,gjzielinski
2754,doug otto,otto_doug
2755,candy crowley,CandyCrowley
2756,russ carnahan,russcarnahan
2757,henry kissinger,
2758,bryan fischer,BryanJFischer
2759,now or never pac,NowOrNeverPAC
2760,tim finchem,Not_TimFinchem
2761,florida consumer action network,
2762,sharlene leurig,sleurig
2763,allen buckley,
2764,jan patterson,
2765,martina navratilova,Martina
2766,livable damascus,
2767,dan coats,
2768,rick north,
2769,leon young,99LeLee
2770,fighting ohio pac,
2771,la raza,larazachicago
2772,dolores gresham,
2773,concernedcitizen4u,
2774,stu burguiere,WorldOfStu
2775,joy reid,JoyAnnReid
2776,joseph henchman,
2777,eugene robinson,Eugene_Robinson
2778,curtis foltz,homegrown_foltz
2779,john g edwards,oneat1
2780,vicki saporta,
2781,nicholas scutari,
2782,jimmy massie,countryboy75
2783,douglas holtz eakin,
2784,charles chuck spahos,
2785,charles perry,TheCharlesPerry
2786,friends greenlight,
2787,austin independent school district,
2788,jim patterson,JimPatterson559
2789,jana duty,
2790,janet mitchell,
2791,kevin cameron,
2792,georgia green party,
2793,richard swett,rnswett
2794,rashad taylor,rashadjtaylor
2795,matt wingard,
2796,richard lugar,
2797,common cause,CommonCause
2798,robert kando,robertkando
2799,broward democratic executive committee,
2800,our democracy 2020,
2801,save flexible spending plans,
2802,alliance defending freedom,
2803,denise grimsley,denisegrimsley
2804,sal albanese,SalAlbaneseNYC
2805,raymond gallison,aepasstdirector
2806,ban the box ri,
2807,arnold schwarzenegger,
2808,kendall jones,beerblog
2809,house natural resources committee republicans,
2810,mark critz,realMarkCritz
2811,thurbert baker,ThurbertBaker
2812,tim echols,timechols
2813,jonathan karl,jonkarl
2814,tim curtis,
2815,gun free ut gun free ut,
2816,peter nightingale,Peter_Night
2817,george nee,george_nee
2818,ken tanner,KenWestHam
2819,portlanders water reform,
2820,roberto alonzo,cfa10roberto
2821,mahlon mitchell,MahlonMitchell
2822,david sewell,
2823,bill flores,
2824,american civil liberties union,
2825,frank niceley,
2826,david madland,DavidMadland
2827,liz carter,withoutdoing
2828,judson phillips,judsonphillips
2829,courtney combs,cococombs11
2830,nancy ann deparle,
2831,debbie riddle,DeeVfl
2832,anthony rendon,Rendon63rd
2833,leon panetta,
2834,friends democracy,
2835,betty mccollum,
2836,tax foundation,taxfoundation
2837,gordon robertson,CBNGordon
2838,rick green,VTConfidential
2839,julian bond,
2840,zephyr teachout,ZephyrTeachout
2841,bill zedler,Bill_Zedler
2842,impact america,
2843,americans prosperity north carolina chapter,
2844,wisconsin education association council,
2845,doctors healthy georgia,
2846,ron hayduk,RonHayduk
2847,rainbowpush coalition,
2848,arizona house democrats,AZHouseDems
2849,fair districts florida,
2850,ej finocchio,
2851,antonio sabato jr,
2852,american unity pac,AmerUnityPAC
2853,dave hansen,DigLibCopyright
2854,ben rhodes,brhodes
2855,eric turner,EricTurner
2856,peter orszag,porszag
2857,florida first project,
2858,maxey scherr,MaxeyforTexas
2859,pew environment group,
2860,tennessee republican party,
2861,lynn derbyshire,LynnDerbyshire
2862,regina benjamin,reginabenjamin
2863,billhislamcom,
2864,david plouffe,davidplouffe
2865,phil roe,
2866,richard licht,
2867,katty kay,KattyKay_
2868,james aubin,
2869,thomas ratliff,RatliffT
2870,mother jones,MotherJones
2871,al cardenas,AlCardenasFL_DC
2872,warren buffett,WarrenBuffett
2873,ken hodges,Ken_Hodges15
2874,citizens republic,
2875,christine gilbert,
2876,morgan carroll,MorganLCarroll
2877,heineken,Heineken
2878,don pridemore,
2879,jeff clemens,jclemy
2880,scott lingamfelter,ScottForVA
2881,clay dafoe,claydafoeaustin
2882,conservative daily post,
2883,kevin rader,KevinWTHR
2884,ernest moniz,ErnestMoniz
2885,judith zaffirini,JudithZaffirini
2886,dominic chavez,dchavezzz_
2887,evan longoria,Evan3Longoria
2888,dino baccari,BaccariDino
2889,ezekiel emanuel,
2890,health first wisconsin,
2891,stop 57 campaign,
2892,americans commonsense solutions,
2893,bill janis,BillJanis
2894,drew brees,drewbrees
2895,thad altman,RepThadAltman
2896,kip kendrick,Kip_Kendrick
2897,jennie lou leeder,JennieLouLeeder
2898,amardeep kaleka,
2899,jalen ross,Jrooo11
2900,jim marston,JimMarston
2901,alan krueger,
2902,cato institute,CatoInstitute
2903,debra lehrmann,JusticeLehrmann
2904,pam davidson,PamDavEd
2905,dennis ross,
2906,libertarian party texas,
2907,christine whitman,Christiinneeyy
2908,john rafferty,jrafferty
2909,richard tomlins,RichTomlins
2910,alan powell,alanpowell10
2911,stand children tennessee,
2912,sean patrick maloney,RepSeanMaloney
2913,mike berlon,mikeberlon
2914,chris sgro,cristoferosgro
2915,marijuana policy project,MarijuanaPolicy
2916,mamie locke,SenatorLocke
2917,drew springer,DrewSpringer
2918,steven costantino,Steve_cost32
2919,russell pearce,RussellPearceAZ
2920,ian prior,ianprior90
2921,friends india point park,
2922,carole smith,SynNeoMarketing
2923,H204TEXAS PAC,
2924,brett bittner,brettbittner
2925,mike bennett,
2926,james carr,
2927,safe routes schools,
2928,conservative renewal pac,
2929,wolf blitzer,wolfblitzer
2930,cenk uygur,cenkuygur
2931,mark emmert,
2932,americans prosperity new jersey,
2933,shelly moore,
2934,frank fahrenkopf,
2935,mike wise,MikeWiseguy
2936,todd wilcox,toddwilcox24
2937,ohio public defenders office,
2938,dan forest,DanForestNC
2939,carolyn tomei,
2940,george lavender,GeorgeLavender
2941,its still bad idea,
2942,david hallock,dhhallock
2943,job itkzkowitz,
2944,robert watson,
2945,independent voice illinois pac,
2946,scott suder,suder13
2947,enterprise florida,EnterpriseFL
2948,motion picture association america,
